SENTENCE,TRIPLES
Replacement of parts will be solely at the discretion of LGEIL.,"|-  {'subject': 'Replacement', 'relation': 'will at', 'object': 'will solely discretion of LGEIL'}
|-  {'subject': 'parts', 'relation': 'Replacement of be', 'object': 'will discretion of LGEIL'}
|-  {'subject': 'parts', 'relation': 'Replacement of be', 'object': 'will solely discretion'}
|-  {'subject': 'Replacement', 'relation': 'will at', 'object': 'will discretion of LGEIL'}
|-  {'subject': 'Replacement', 'relation': 'will at', 'object': 'will discretion'}
|-  {'subject': 'parts', 'relation': 'Replacement of be', 'object': 'will solely discretion of LGEIL'}
|-  {'subject': 'parts', 'relation': 'Replacement of be', 'object': 'will discretion'}
|-  {'subject': 'Replacement', 'relation': 'will at', 'object': 'will solely discretion'}
"
"In case the replacement of the entire unit is made, (subject to the sole discretion of LGEIL), the same model shall be provided as replacement; if such model has been phased out, the equivalent model as determined by LGEIL shall be provided as replacement.","|-  {'subject': 'equivalent model', 'relation': 'shall', 'object': 'shall provided as replacement'}
|-  {'subject': 'model', 'relation': 'shall', 'object': 'shall provided as replacement'}
|-  {'subject': 'equivalent model', 'relation': 'shall', 'object': 'shall provided'}
|-  {'subject': 'model', 'relation': 'shall', 'object': 'shall provided as replacement'}
|-  {'subject': 'replacement', 'relation': 'is', 'object': 'made'}
|-  {'subject': 'replacement', 'relation': 'is made In', 'object': 'case'}
|-  {'subject': 'model', 'relation': 'shall', 'object': 'shall provided'}
|-  {'subject': 'same model', 'relation': 'shall', 'object': 'shall provided'}
|-  {'subject': 'same model', 'relation': 'shall', 'object': 'shall provided as replacement'}
|-  {'subject': 'model', 'relation': 'shall', 'object': 'shall provided'}
"
"In case of repair, LGEIL shall endeavor to use new parts.","|-  {'subject': 'LGEIL', 'relation': 'use', 'object': 'parts'}
|-  {'subject': 'LGEIL', 'relation': 'shall endeavor In case of', 'object': 'repair'}
|-  {'subject': 'LGEIL', 'relation': 'use', 'object': 'new parts'}
"
"If new parts are not available, however, then LGEIL will have every right to use refurbished parts.",
The warranty on replacement model / Refurbished part shall remain in force only for the unexpired period of the warranty based on original purchase.,"|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'unexpired period of warranty based on original purchase'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'only unexpired period'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'unexpired period'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'only period of warranty based on purchase'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'only period of warranty based on original purchase'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty based on original purchase'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'only period of warranty based on original purchase'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty'}
|-  {'subject': 'warranty', 'relation': 'shall remain in', 'object': 'force'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'only period'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'unexpired period of warranty'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'only period of warranty'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty based on original purchase'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'period of warranty'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'period of warranty based'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'period of warranty based on purchase'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'unexpired period of warranty'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty based on original purchase'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'unexpired period of warranty based on purchase'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'period of warranty'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'unexpired period of warranty based'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'only unexpired period'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'unexpired period of warranty based on purchase'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'period of warranty based on original purchase'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain in', 'object': 'force'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'unexpired period of warranty based'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty based on purchase'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'only period of warranty based on purchase'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'only period of warranty based on purchase'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'unexpired period'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'only period'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'period of warranty based on original purchase'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'unexpired period'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'period of warranty based on original purchase'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'period of warranty'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'period of warranty based on purchase'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty based'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty based'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty based on purchase'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'unexpired period of warranty based on purchase'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'period of warranty based'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty based on purchase'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'period'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'period of warranty based'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'unexpired period of warranty based on original purchase'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'only period of warranty'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'unexpired period of warranty'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'period'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'only unexpired period'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'only unexpired period of warranty based'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'unexpired period of warranty based'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'only period of warranty based on original purchase'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'only period of warranty based'}
|-  {'subject': 'part', 'relation': 'shall remain in', 'object': 'force'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'only period of warranty based'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'period of warranty based on purchase'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'period'}
|-  {'subject': 'Refurbished part', 'relation': 'shall remain for', 'object': 'only period of warranty based'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'only period of warranty'}
|-  {'subject': 'warranty', 'relation': 'shall remain for', 'object': 'only period'}
|-  {'subject': 'part', 'relation': 'shall remain for', 'object': 'unexpired period of warranty based on original purchase'}
"
The company or its Authorized Service Center reserves the right to retain any part or component replaced at its discretion in case of a defect discovered in the equipment during the warranty period.,
The company offers 3 free visits for PM (Preventive Maintenance) in which complete Electrolysis Sterilization will be done & out-sediment Pre Filter Candle will be replaced at each visit.,"|-  {'subject': 'company', 'relation': 'offers', 'object': '3 visits'}
|-  {'subject': 'company', 'relation': 'offers', 'object': '3 visits for PM'}
|-  {'subject': 'complete Electrolysis Sterilization', 'relation': 'will', 'object': 'will done at visit'}
|-  {'subject': 'company', 'relation': 'offers', 'object': '3 free visits for PM'}
|-  {'subject': 'Pre Filter Candle', 'relation': 'will', 'object': 'will replaced'}
|-  {'subject': 'out-sediment Pre Filter Candle', 'relation': 'will', 'object': 'will replaced'}
|-  {'subject': 'company', 'relation': 'offers', 'object': '3 free visits'}
|-  {'subject': 'Electrolysis Sterilization', 'relation': 'will', 'object': 'will done at visit'}
"
"If any of the colored internal or external components is replaced, LGEIL is committed to ensuring that the shades match the original or other components.","|-  {'subject': 'shades', 'relation': 'match', 'object': 'components'}
|-  {'subject': 'LGEIL', 'relation': 'is committed', 'object': 'ensuring'}
|-  {'subject': 'any', 'relation': 'is', 'object': 'replaced'}
|-  {'subject': 'LGEIL', 'relation': 'is', 'object': 'committed'}
|-  {'subject': 'LGEIL', 'relation': 'is committed', 'object': 'replaced'}
|-  {'subject': 'shades', 'relation': 'match', 'object': 'original components'}
"
"The replaced shades, patterns, or tints may vary from the customers unit due to continuous usage of the unit.","|-  {'subject': 'patterns', 'relation': 'may vary due to', 'object': 'usage'}
|-  {'subject': 'shades', 'relation': 'may vary due to', 'object': 'usage'}
|-  {'subject': 'patterns', 'relation': 'may vary due to', 'object': 'continuous usage of unit'}
|-  {'subject': 'patterns', 'relation': 'may vary from', 'object': 'customers unit'}
|-  {'subject': 'patterns', 'relation': 'may vary due to', 'object': 'usage of unit'}
|-  {'subject': 'tints', 'relation': 'may vary from', 'object': 'customers unit'}
|-  {'subject': 'shades', 'relation': 'may vary due to', 'object': 'usage of unit'}
|-  {'subject': 'replaced shades', 'relation': 'may vary due to', 'object': 'usage of unit'}
|-  {'subject': 'replaced shades', 'relation': 'may vary due to', 'object': 'continuous usage of unit'}
|-  {'subject': 'patterns', 'relation': 'may vary due to', 'object': 'continuous usage'}
|-  {'subject': 'replaced shades', 'relation': 'may vary due to', 'object': 'usage'}
|-  {'subject': 'tints', 'relation': 'may vary due to', 'object': 'continuous usage of unit'}
|-  {'subject': 'tints', 'relation': 'may vary due to', 'object': 'usage'}
|-  {'subject': 'tints', 'relation': 'may vary due to', 'object': 'continuous usage'}
|-  {'subject': 'tints', 'relation': 'may vary due to', 'object': 'usage of unit'}
|-  {'subject': 'replaced shades', 'relation': 'may vary due to', 'object': 'continuous usage'}
|-  {'subject': 'shades', 'relation': 'may vary due to', 'object': 'continuous usage'}
|-  {'subject': 'shades', 'relation': 'may vary due to', 'object': 'continuous usage of unit'}
|-  {'subject': 'replaced shades', 'relation': 'may vary from', 'object': 'customers unit'}
|-  {'subject': 'shades', 'relation': 'may vary from', 'object': 'customers unit'}
"
Any matching component changed at the customers request other than the component that is actually needed will be charged.,"|-  {'subject': 'request', 'relation': 'be', 'object': 'charged'}
|-  {'subject': 'request other', 'relation': 'be', 'object': 'charged'}
|-  {'subject': 'matching component', 'relation': 'changed at', 'object': 'customers'}
"
"This warranty will automatically be terminated upon the expiration of the warranty period specied above,  even if the LG product may not be in use at any time during the warranty period for any reason.",
8,
"In case of any unpredicted situation, and spares are not available, LGs prevailing depreciation policy (subject to the sole discretion of LGEIL, may be changed without prior notice) will be applied to the product as a solution.",
9,
Only courts in the state of Delhi and places where LGEIL has a branch ofce shall have jurisdiction over the settlement of any and all claims and disputes arising during the warranty.,"|-  {'subject': 'branch ofce', 'relation': 'have', 'object': 'jurisdiction'}
|-  {'subject': 'courts', 'relation': 'is in', 'object': 'state of Delhi'}
"
Visiting charges of the service engineer for units installed beyond the municipal limits of the jurisdiction of the companys Authorized Service Center.,
"All expenses incurred in collecting the units or parts thereof from the companys authorized service center as well as expenses incurred from deputizing service personnel/technicians for conveyance and other incidentals, etc.",
", shall be borne by the customer.",
Local charges for transportation and handling charges may vary by location.,"|-  {'subject': 'Local charges', 'relation': 'may vary by', 'object': 'location'}
|-  {'subject': 'charges', 'relation': 'may vary by', 'object': 'location'}
"
Customers are advised to verify in advance.,"|-  {'subject': 'Customers', 'relation': 'verify in', 'object': 'advance'}
|-  {'subject': 'Customers', 'relation': 'are advised', 'object': 'verify'}
|-  {'subject': 'Customers', 'relation': 'are', 'object': 'advised'}
|-  {'subject': 'Customers', 'relation': 'are advised', 'object': 'verify in advance'}
"
"If the customer wishes to bring the unit on his/her own to an authorized service center, such shall be at his/her own risks & consequences.","|-  {'subject': 'customer', 'relation': 'bring unit on', 'object': 'his/her own to service center'}
|-  {'subject': 'such', 'relation': 'shall at', 'object': 'shall his/her risks'}
|-  {'subject': 'such', 'relation': 'shall at', 'object': 'shall his/her own risks'}
|-  {'subject': 'customer', 'relation': 'bring', 'object': 'unit'}
|-  {'subject': 'customer', 'relation': 'bring unit on', 'object': 'his/her own'}
|-  {'subject': 'customer', 'relation': 'bring unit on', 'object': 'his/her own to authorized service center'}
|-  {'subject': 'customer', 'relation': 'bring unit on', 'object': 'his/her'}
"
Reinstallation or uninstallation of product based on customer demand.,
"Packing material, if used, will also be charged.","|-  {'subject': 'Packing material', 'relation': 'will', 'object': 'will also charged'}
|-  {'subject': 'Packing material', 'relation': 'will', 'object': 'will charged'}
|-  {'subject': 'material', 'relation': 'will', 'object': 'will also charged'}
|-  {'subject': 'material', 'relation': 'will', 'object': 'will charged'}
"
Transportation cost in case customer is moving the product to another location.,"|-  {'subject': 'Transportation cost', 'relation': 'is moving', 'object': 'product'}
|-  {'subject': 'Transportation cost', 'relation': 'is in', 'object': 'case customer'}
"
Damage resulting from operating the product in a corrosive atmosphere or contrary to the instructions outlined in the products owners manual.,
"Replacement of all inside lters (Sediment, Pre carbon, Post Carbon, RO Membrane) are not covered by this warranty.",
"Damage to the product caused by accidents, pests and vermin, lightning, wind, re, oods, or acts of God.",
"Damage resulting from misuse, abuse, improper installation, repair, or maintenance.","|-  {'subject': 'Damage', 'relation': 'resulting from', 'object': 'misuse'}
"
Improper repair includes use of parts other than those approved or specied by LGEIL.,"|-  {'subject': 'Improper repair', 'relation': 'includes', 'object': 'use of parts other than those'}
|-  {'subject': 'Improper repair', 'relation': 'includes', 'object': 'use of parts other than those approved by LGEIL'}
|-  {'subject': 'Improper repair', 'relation': 'includes', 'object': 'use of parts other'}
|-  {'subject': 'Improper repair', 'relation': 'includes', 'object': 'use'}
|-  {'subject': 'repair', 'relation': 'includes', 'object': 'use of parts other'}
|-  {'subject': 'Improper repair', 'relation': 'includes', 'object': 'use of parts'}
|-  {'subject': 'Improper repair', 'relation': 'includes', 'object': 'use of parts other than those approved'}
|-  {'subject': 'repair', 'relation': 'includes', 'object': 'use of parts other than those approved by LGEIL'}
|-  {'subject': 'repair', 'relation': 'includes', 'object': 'use of parts'}
|-  {'subject': 'repair', 'relation': 'includes', 'object': 'use of parts other than those'}
|-  {'subject': 'repair', 'relation': 'includes', 'object': 'use of parts other than those approved'}
|-  {'subject': 'repair', 'relation': 'includes', 'object': 'use'}
"
Damage or failure caused by unauthorized modication or alteration or use for purposes other than the intended purpose or any water leak in case the unit was not properly installed.,
"Damage or failure caused by incorrect electrical current, voltage, or inadequate electrical services, commercial or industrial use, or use of spurious/fake accessories or components or cleaning products other than those approved by LGEIL.","|-  {'subject': 'Damage', 'relation': 'caused by', 'object': 'current'}
|-  {'subject': 'Damage', 'relation': 'caused by', 'object': 'electrical current'}
|-  {'subject': 'Damage', 'relation': 'caused by', 'object': 'incorrect electrical current'}
|-  {'subject': 'Damage', 'relation': 'caused by', 'object': 'incorrect current'}
"
"Damage caused by transportation and handling, including scratches, dents, chips, and/or other damage to the nish of your product, unless such damage is caused by a defect in materials or workmanship and reported within fteen (15) days of delivery (Call 1800-315-9999, 1800-180-9999) Damage or missing items of any display, open box, discounted or refurbished product.","|-  {'subject': 'such damage', 'relation': 'is', 'object': 'caused'}
|-  {'subject': 'damage', 'relation': 'is', 'object': 'caused'}
|-  {'subject': 'damage', 'relation': 'is caused by', 'object': 'defect'}
|-  {'subject': 'delivery', 'relation': 'of fteen is', 'object': '15'}
|-  {'subject': 'such damage', 'relation': 'reported within', 'object': 'fteen'}
|-  {'subject': 'damage', 'relation': 'is caused by', 'object': 'defect in materials'}
|-  {'subject': 'Damage', 'relation': 'caused by', 'object': 'transportation scratches'}
|-  {'subject': 'damage', 'relation': 'reported within', 'object': '15'}
|-  {'subject': 'such damage', 'relation': 'reported within', 'object': '15'}
|-  {'subject': 'defect', 'relation': 'is in', 'object': 'materials'}
|-  {'subject': 'such damage', 'relation': 'is caused by', 'object': 'defect in materials'}
|-  {'subject': 'damage', 'relation': 'reported within', 'object': 'fteen of delivery of display'}
|-  {'subject': 'such damage', 'relation': 'is caused by', 'object': 'defect'}
|-  {'subject': 'such damage', 'relation': 'reported within', 'object': 'fteen of delivery of display'}
|-  {'subject': 'Damage', 'relation': 'caused by', 'object': 'transportation'}
|-  {'subject': 'damage', 'relation': 'reported within', 'object': 'fteen'}
"
Free accessories provided external to the product.,"|-  {'subject': 'Free accessories', 'relation': 'provided', 'object': 'external to product'}
|-  {'subject': 'Free accessories', 'relation': 'provided', 'object': 'external'}
"
Damage to the product if the customer has the product repaired by an unauthorized dealer/person.,"|-  {'subject': 'customer', 'relation': 'has', 'object': 'product repaired'}
|-  {'subject': 'customer', 'relation': 'has', 'object': 'product repaired by unauthorized dealer/person'}
|-  {'subject': 'customer', 'relation': 'has', 'object': 'product repaired by dealer/person'}
|-  {'subject': 'customer', 'relation': 'has', 'object': 'product'}
"
"Upon removal, tampering, or alteration of the serial number/identication labels on the machine or any of its components.",
0,
